,delta_time,longitude,latitude,heights,class,utm_x,utm_y,elapsed_seconds,qGIS_Surface_Type
0,144088547.68148068,-77.43803452079459,85.70165347854591,-0.026152313,other,579647.273302141,9524709.627884086,1263.5,ice
1,144088547.68250605,-77.4384335624323,85.70159540117538,-0.034430277,other,579645.0541865784,9524702.679843895,1263.4448842874542,ice
2,144088547.68381065,-77.43894139975836,85.70152150146262,-0.0020825155,other,579642.2296895924,9524693.838807505,1263.3897685749089,ice
3,144088547.6851778,-77.43947375485625,85.70144407491625,-0.003570144,other,579639.2679106557,9524684.575460063,1263.3346528623629,ice
4,144088547.6865868,-77.44002271750956,85.70136427888255,-0.044042163,other,579636.2127125893,9524675.028203197,1263.279537149817,ice
5,144088547.68753606,-77.44039256800542,85.70131051290707,-0.085624576,other,579634.1543449212,9524668.595391488,1263.2244214372715,ice
6,144088547.68866572,-77.44083285097622,85.70124653908702,-0.06564226,other,579631.7033135993,9524660.940978387,1263.169305724726,ice
7,144088547.68977553,-77.44126578473333,85.70118371875017,0.036125958,other,579629.2915017115,9524653.423771286,1263.11419001218,ice
8,144088547.6911167,-77.44178934877411,85.70110786032741,0.084527425,other,579626.3725721225,9524644.345336825,1263.0590742996346,pond
9,144088547.69215924,-77.4421965158929,85.70104890209537,0.0100948755,other,579624.1018004273,9524637.289118985,1263.0039585870888,ice
10,144088547.69382015,-77.4428456372014,85.70095498747696,-0.06804757,other,579620.4799936279,9524626.048526408,1262.9488428745433,ice
11,144088547.69493398,-77.44328114844822,85.70089200423645,-0.039874695,other,579618.0494114708,9524618.509854186,1262.8937271619975,ice
12,144088547.69591275,-77.4436638292539,85.70083667091667,-0.020153787,other,579615.9134066079,9524611.886741966,1262.838611449452,ice
13,144088547.6972703,-77.44419478841664,85.70075993727664,0.00088667497,other,579612.9488815969,9524602.701752745,1262.783495736906,ice
14,144088547.69895315,-77.44485340338379,85.70066479494693,-0.006533317,other,579609.2706452043,9524591.312886564,1262.7283800243606,ice
15,144088547.70007727,-77.44529337672438,85.70060126007104,-0.018114455,other,579606.8129171166,9524583.707334911,1262.6732643118148,ice
16,144088547.70133263,-77.44578482874584,85.70053030165985,0.030214032,other,579604.0673020164,9524575.213049032,1262.6181485992695,ice
17,144088547.7027231,-77.44632919414273,85.7004517097191,0.03176211,other,579601.025792724,9524565.8049222,1262.5630328867237,ice
18,144088547.7041549,-77.44688969873931,85.70037079069422,0.020903977,other,579597.893875375,9524556.118210709,1262.5079171741777,ice
19,144088547.70536575,-77.4473637279793,85.70030235948651,-0.024610583,other,579595.2449472784,9524547.926378312,1262.4528014616324,ice
20,144088547.70652384,-77.4478170873671,85.70023690248036,-0.06822605,other,579592.7115825957,9524540.090688651,1262.3976857490863,ice
21,144088547.70766404,-77.44826312548771,85.70017247391695,-0.08686583,other,579590.219541843,9524532.378396096,1262.3425700365403,ice
22,144088547.70847246,-77.44857931006266,85.70012678163178,-0.1039414,other,579588.4533110529,9524526.909095956,1262.2874543239952,ice
23,144088547.70937973,-77.44893419246526,85.70007551063276,-0.11234194,other,579586.4705917935,9524520.771907931,1262.2323386114494,lead
24,144088547.7103924,-77.44933089549271,85.70001824650159,-0.16344768,other,579584.2532334412,9524513.916875662,1262.1772228989037,ice
25,144088547.7115653,-77.44979020138358,85.69995191705958,-0.14831424,other,579581.6863728319,9524505.976928389,1262.122107186358,ice
26,144088547.71230337,-77.45007908812968,85.69991018061711,-0.14903226,other,579580.0721737952,9524500.98105387,1262.0669914738123,ice
27,144088547.71281368,-77.45027879571397,85.69988131392857,-0.16648656,other,579578.9565122216,9524497.525835017,1262.0118757612668,ice
28,144088547.713362,-77.45049321674941,85.69985031294497,-0.17625979,other,579577.7587679462,9524493.815224746,1261.9567600487208,ice
29,144088547.71400028,-77.4507427266759,85.69981422551882,-0.16295238,other,579576.3652310611,9524489.495931648,1261.9016443361754,ice
30,144088547.71483287,-77.45106805080998,85.69976715505578,-0.13066992,other,579574.54853889,9524483.86225728,1261.8465286236296,ice
31,144088547.71587294,-77.45147412789417,85.69970835549856,0.03682532,other,579572.2816492121,9524476.82521432,1261.791412911084,ice
32,144088547.71705773,-77.45193633712958,85.6996413751521,0.2155482,other,579569.7022676291,9524468.809623089,1261.7362971985383,ice
33,144088547.71842295,-77.45246830383665,85.69956421300489,0.33889872,other,579566.7347958772,9524459.576278878,1261.6811814859927,ice
34,144088547.71978575,-77.4529986583073,85.69948720483336,0.36849433,other,579563.7776292993,9524450.362136656,1261.6260657734467,ice
35,144088547.72124267,-77.45356487968559,85.69940489614241,0.38719457,other,579560.6220044277,9524440.514678331,1261.5709500609012,ice
36,144088547.7227022,-77.45413140484638,85.69932246370115,0.2895518,other,579557.4659695252,9524430.653188951,1261.5158343483556,ice
37,144088547.7239864,-77.45462919135208,85.69924996585526,0.16925529,other,579554.6939557564,9524421.980840225,1261.46071863581,ice
38,144088547.72511515,-77.45506626874102,85.6991862605987,0.006484136,other,579552.2607993507,9524414.360757291,1261.4056029232645,pond
39,144088547.72586402,-77.45535596051968,85.69914400549001,-0.09212729,other,579550.6486448396,9524409.306733264,1261.3504872107187,pond
40,144088547.72652596,-77.45561177443093,85.6991066571383,-0.10626579,other,579549.2256237507,9524404.839927085,1261.2953714981727,pond
